,Algo,lag,dropout,epochs,batch_size,loss,rmse,power_gen_rmse,r2,model_filename,time_ran
0,Linear Regression,NA,NA,NA,NA,NA,0.15446199483163242,0.3930165325169317,0.5733417944064966,1588744772_model_linear_mod.pkl,1588744788
1,LSTM,24,0.3,10,12,"{'loss': [0.20551582305146973, 0.09036519439668239, 0.074116501129018, 0.07008197017253683, 0.06857681665728733, 0.06735894022781944, 0.067549746795166, 0.06756773284395974, 0.06700109319605688, 0.06691941948460935], 'val_loss': [0.08189828879245188, 0.06056823084110799, 0.058377916671437734, 0.05831110482248534, 0.05800990448939883, 0.05768402661280208, 0.05782505971949172, 0.05753562682447492, 0.05738880481678576, 0.05748328506921583]}",0.05748328509368642,0.23975672064341894,0.8412184479656262,1588745268_model_24_lag.h5,1588745282
2,LSTM,672,0.33,10,12,"{'loss': [0.11655625849468186, 0.06848469305090288, 0.06600036116115689, 0.06464312547557154, 0.0640781199204315, 0.06310808120356408, 0.06252659077885075, 0.06182725074515362, 0.06143776549481025, 0.06123740291796417], 'val_loss': [0.061181815923642406, 0.05946519135821061, 0.058424286309809594, 0.05848807068063797, 0.05868314750301247, 0.058216850085521674, 0.05871229290994459, 0.05805655040976478, 0.05813127064553236, 0.058053531201438434]}",0.05805353086588562,0.24094300335532803,0.8396433029716812,1588746375_model_672_lag.h5,1588746384
3,LSTM,168,0.33,10,12,"{'loss': [0.13961095864411774, 0.07313412256169995, 0.06856883709031834, 0.06573036971356559, 0.06436630958110942, 0.06362041742654537, 0.062307183437844, 0.06181703843403646, 0.061357832302838644, 0.06110611557347225], 'val_loss': [0.06284090820902324, 0.05850427033814494, 0.05865447652637625, 0.05819214229233959, 0.05784562831045003, 0.058327779980041496, 0.05766954383343344, 0.05791819511993767, 0.0576306149235096, 0.05755678282079768]}",0.05755678288606387,0.23990994745125485,0.8410154308011448,1588747204_model_168_lag.h5,1588747213
